"Window","Role","Model","Ticket","EntryTime","CloseTime","Month","Hour","Bias","Volume","EntryPrice","StopLoss","TakeProfit","PlannedR","Profit","RealizedR","EntryReason","CloseReason","Lane","ATR","SpreadPoints","MFE_R","MAE_R","HeldBars","ProfileId","SourceHash","RunLabel","SourceLog"
"2024_full","profit_control","4","35","8/12/2024 3:00:00 PM","8/12/2024 4:32:38 PM","2024-08","15","buy","0.16","2441.81","2438.2","2449.49","2.13","123.04","21.29","Diagnostic trend fallback;","tp 2449.49","diagnostic_fallback","2.19","33","1.15","0.37","6","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","37","8/13/2024 8:30:00 AM","8/13/2024 11:03:04 AM","2024-08","8","buy","0.37","2460.32","2457.73","2468.7","3.24","72.52","7.58","Diagnostic trend fallback;","sl 2462.29","diagnostic_fallback","2.39","33","1.66","-0.18","10","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","39","8/14/2024 7:00:00 AM","8/14/2024 11:03:31 AM","2024-08","7","buy","0.17","2461.08","2455.29","2471.95","1.88","184.79","18.77","Diagnostic trend fallback;","tp 2471.95","diagnostic_fallback","3.1","33","1.68","-0.08","16","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","41","8/15/2024 7:30:00 AM","8/15/2024 8:58:40 AM","2024-08","7","sell","0.47","2454.08","2456.36","2446.71","3.24","-51.7","-4.83","Diagnostic trend fallback;","sl 2455.18","diagnostic_fallback","2.11","36","0.63","-0.26","5","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","43","8/16/2024 7:15:00 AM","8/16/2024 10:07:28 AM","2024-08","7","buy","0.21","2453.01","2449.86","2461.42","2.67","24.57","3.72","Diagnostic trend fallback;","sl 2454.19","diagnostic_fallback","2.4","33","1.3","-0.12","11","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","45","8/19/2024 7:00:00 AM","8/19/2024 10:34:02 AM","2024-08","7","buy","0.12","2503.51","2494.89","2516.62","1.52","-42.96","-4.15","Diagnostic trend fallback;","sl 2499.94","diagnostic_fallback","3.74","33","0.09","-0.41","14","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","47","8/20/2024 8:30:00 AM","8/20/2024 9:26:25 AM","2024-08","8","sell","0.14","2502.34","2506.91","2494.77","1.66","7.84","1.23","Liquidity sweep;Diagnostic trend fallback;","sl 2501.77","sweep_plus_diagnostic","2.16","35","0.88","0.18","3","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","49","8/21/2024 7:00:00 AM","8/21/2024 9:09:19 AM","2024-08","7","buy","0.15","2517.62","2510.77","2528.03","1.52","-58.95","-5.74","Diagnostic trend fallback;","sl 2513.69","diagnostic_fallback","2.97","33","0.01","-0.47","8","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","51","8/26/2024 7:15:00 AM","8/26/2024 10:23:30 AM","2024-08","7","buy","0.27","2510.56","2508.19","2518.24","3.24","207.9","32.48","Diagnostic trend fallback;","tp 2518.24","diagnostic_fallback","2.19","33","2.94","-0.47","12","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","53","8/27/2024 7:00:00 AM","8/27/2024 9:41:24 AM","2024-08","7","buy","0.25","2509.3","2504.91","2518.3","2.05","100.5","9.15","Diagnostic trend fallback;","sl 2513.32","diagnostic_fallback","2.57","35","1.75","-0.62","10","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
