Gate,Feature,Operator,Threshold,EligibleDiagnostic,Score,Trades,NetR,ProfitFactor,WinRatePercent,RedYears,WorstYear,WorstYearR,DiscoveryR,RecentR,StressNetR,StressProfitFactor,StressRedYears,StressWorstYear,StressWorstYearR
BodyPct>=5,BodyPct,>=,5.0,False,-27.5598,36,18.4709,1.8992,44.44,4,2024,-4.0561,14.6524,3.8185,16.6709,1.7739,4,2024,-4.2561
WickPct>=35,WickPct,>=,35.0,False,-28.1644,31,15.4609,1.7929,38.71,4,2020,-5.1206,4.8677,10.5932,13.9109,1.6803,4,2020,-5.3706
ADX<=20,ADX,<=,20.0,False,-29.1218,20,10.3921,1.8388,40.0,4,2021,-2.0081,0.7792,9.6129,9.3921,1.7231,4,2021,-2.1081
TradeRR<=2.5,TradeRR,<=,2.5,False,-29.5832,20,7.6015,1.7531,50.0,4,2020,-2.6385,3.1204,4.4811,6.6015,1.6232,4,2020,-2.8885
TradeRR<=3,TradeRR,<=,3.0,False,-29.6515,24,7.2875,1.5508,45.83,4,2020,-3.7174,3.8564,3.4311,6.0875,1.4385,4,2020,-4.0174
SpreadATRPct<=14,SpreadATRPct,<=,14.0,False,-34.6154,40,23.7227,2.0524,45.0,5,2017,-2.2829,13.3196,10.4032,21.7227,1.9188,5,2017,-2.3829
SpreadATRPct<=10,SpreadATRPct,<=,10.0,False,-34.9007,34,22.094,2.2104,47.06,5,2015,-1.003,11.6909,10.4032,20.394,2.0648,5,2015,-1.053
WickPct>=25,WickPct,>=,25.0,False,-34.9049,37,22.257,2.0332,43.24,5,2016,-1.0,11.8538,10.4032,20.407,1.9033,5,2016,-1.05
TradeRR<=3.5,TradeRR,<=,3.5,False,-36.49,30,13.3691,1.8093,46.67,5,2020,-3.7174,4.5882,8.7809,11.8691,1.6853,5,2020,-4.0174
ADX<=21,ADX,<=,21.0,False,-36.7382,27,12.3101,1.7505,40.74,5,2017,-1.2829,3.7017,8.6084,10.9601,1.6371,5,2017,-1.3329
SpreadATRPct<=12,SpreadATRPct,<=,12.0,False,-51.5027,37,18.8054,1.873,43.24,7,2017,-2.2829,8.4023,10.4032,16.9554,1.7505,7,2017,-2.3829
