"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","ProxyLookbackBars","MinimumProxyComponentATR","MinimumConsensusATR","MaximumGoldExtensionATR","BreakoutLookbackBars","BreakoutBufferATR","TakeProfitR","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","RunnerSourceSha256","PortableBinarySha256"
"36","usdcll_goldmax20","8","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_goldmax20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_usdcll_goldmax20_continuous_2015_2020_m1.ini","usdcll_goldmax20_continuous_2015_2020_m1","profiles\usdcll_goldmax20.set","61A5C32954CD0DEEE18BDBF611FDFB6A60ECF4A0F46ECD08A07616B33FB3F4FA","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.20","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_goldmax20_continuous_2015_2020_m1.htm","79570B2678467E2A47F4D834B7C55EE9DE659E3DB9B857333050D97E68DD8745","10000","2191","5.9986","-182.99","9817.01","-1.83","-0.31","-0.31","0.79","-1.05","-5","41.14","175","5","303.1","3.03","290.22","303.1","-0.6037","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"37","usdcll_goldmax50","9","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_goldmax50.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_usdcll_goldmax50_older_2015_2018_m1.ini","usdcll_goldmax50_older_2015_2018_m1","profiles\usdcll_goldmax50.set","EA86AA5BECA44497B3E2CCA71A2661026E831960DA0472163A77657B72C78CA0","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.50","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_goldmax50_older_2015_2018_m1.htm","E43E731AF8B5FEB9EE1081D591095FE49F90BA9DD410CA7E681DC62C76B05790","10000","1460","3.9973","-318.86","9681.14","-3.19","-0.8","-0.81","0.72","-1.5","-5","38.21","212","12","359.44","3.59","350.44","359.44","-0.8871","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"39","usdcll_goldmax50","9","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_goldmax50.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_usdcll_goldmax50_discovery_2019_2020_m1.ini","usdcll_goldmax50_discovery_2019_2020_m1","profiles\usdcll_goldmax50.set","EA86AA5BECA44497B3E2CCA71A2661026E831960DA0472163A77657B72C78CA0","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.50","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_goldmax50_discovery_2019_2020_m1.htm","5A93EDFF68C0534C8F75EF57E2C58FD98EF7186BDBDEA3686300046EEE46FAD8","10000","730","1.9986","70.59","10070.59","0.71","0.35","0.35","1.15","0.64","3.81","49.55","111","6","122.47","1.21","109.2","122.47","0.5764","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"40","usdcll_goldmax50","9","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_goldmax50.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_usdcll_goldmax50_continuous_2015_2020_m1.ini","usdcll_goldmax50_continuous_2015_2020_m1","profiles\usdcll_goldmax50.set","EA86AA5BECA44497B3E2CCA71A2661026E831960DA0472163A77657B72C78CA0","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.50","4","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_goldmax50_continuous_2015_2020_m1.htm","07F95E5A8D7BC0AA8C21736A103B86EF44160C5506B4B795CAB83729AE47A583","10000","2191","5.9986","-240.01","9759.99","-2.4","-0.4","-0.4","0.85","-0.74","-4.23","42.11","323","12","359.44","3.59","350.44","359.44","-0.6677","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"42","usdcll_breakout3","10","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_breakout3.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_usdcll_breakout3_older_2015_2018_m1.ini","usdcll_breakout3_older_2015_2018_m1","profiles\usdcll_breakout3.set","DED96AC4BBE533007EBA93FE206B107A27A505D123FD83A0FCB0372CD2B81290","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","3","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_breakout3_older_2015_2018_m1.htm","936EA4D731CD6BE39B1BB26A53DEAE42182EBD0DCCC9AA112E63217081592449","10000","1460","3.9973","-285.55","9714.45","-2.86","-0.71","-0.72","0.72","-1.46","-5","39.8","196","12","355.67","3.54","339.06","355.67","-0.8029","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"43","usdcll_breakout3","10","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_breakout3.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_usdcll_breakout3_discovery_2019_2020_m1.ini","usdcll_breakout3_discovery_2019_2020_m1","profiles\usdcll_breakout3.set","DED96AC4BBE533007EBA93FE206B107A27A505D123FD83A0FCB0372CD2B81290","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","3","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_breakout3_discovery_2019_2020_m1.htm","838D11AC84B3AD1DA182BBEDC940F5C2ED6C89771E832870B0C52DB38ED333BC","10000","730","1.9986","73.46","10073.46","0.73","0.37","0.37","1.16","0.66","3.86","50.45","111","4","108.97","1.08","99.14","108.97","0.6741","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"45","usdcll_breakout3","10","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_breakout3.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_usdcll_breakout3_continuous_2015_2020_m1.ini","usdcll_breakout3_continuous_2015_2020_m1","profiles\usdcll_breakout3.set","DED96AC4BBE533007EBA93FE206B107A27A505D123FD83A0FCB0372CD2B81290","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","3","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_breakout3_continuous_2015_2020_m1.htm","7428D6B20DCEA0ED28AAAC1FB86F2B7FA9155A5B8949F74F896BE644D405C481","10000","2191","5.9986","-208.87","9791.13","-2.09","-0.35","-0.35","0.86","-0.68","-3.82","43.65","307","12","376.77","3.75","355.18","376.77","-0.5544","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"46","usdcll_breakout6","11","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_breakout6.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_usdcll_breakout6_older_2015_2018_m1.ini","usdcll_breakout6_older_2015_2018_m1","profiles\usdcll_breakout6.set","325B7752E2DAA000A83C27ECA6D98CAD477B1CF4ECEB8A0194724D5B53B6C45E","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","6","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_breakout6_older_2015_2018_m1.htm","975C0FB2AB9503E3BACEC63BCDAD13537CD5E8953FA2CDDB5409A2A6705EE5BC","10000","1460","3.9973","-150.51","9849.49","-1.51","-0.38","-0.38","0.73","-1.42","-5","40.57","106","10","225.66","2.25","215.19","225.66","-0.667","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"48","usdcll_breakout6","11","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_breakout6.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_usdcll_breakout6_discovery_2019_2020_m1.ini","usdcll_breakout6_discovery_2019_2020_m1","profiles\usdcll_breakout6.set","325B7752E2DAA000A83C27ECA6D98CAD477B1CF4ECEB8A0194724D5B53B6C45E","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","6","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_breakout6_discovery_2019_2020_m1.htm","CBB4BA45716E589A98C04E724B247FDB22824250D54B1979DF4ECD69F2358441","10000","730","1.9986","23.02","10023.02","0.23","0.12","0.12","1.08","0.34","1.96","50.75","67","8","131.05","1.31","116.68","131.05","0.1757","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"49","usdcll_breakout6","11","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_breakout6.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_usdcll_breakout6_continuous_2015_2020_m1.ini","usdcll_breakout6_continuous_2015_2020_m1","profiles\usdcll_breakout6.set","325B7752E2DAA000A83C27ECA6D98CAD477B1CF4ECEB8A0194724D5B53B6C45E","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","6","0.05","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_breakout6_continuous_2015_2020_m1.htm","0D977ADE9B40E82BBF8388E34FC720B8BBF9FB8B9962F13449D25DF757E77ED1","10000","2191","5.9986","-128.09","9871.91","-1.28","-0.21","-0.21","0.84","-0.74","-4","44.51","173","10","274.7","2.74","259.39","274.7","-0.4663","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"51","usdcll_buffer00","12","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_buffer00.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_usdcll_buffer00_older_2015_2018_m1.ini","usdcll_buffer00_older_2015_2018_m1","profiles\usdcll_buffer00.set","92384FCAFBF1C18DFCB0569D1A7D2FA75197A6C328F2DC3A184157E1AE3D262F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.00","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_buffer00_older_2015_2018_m1.htm","B75D25FEB43CE6A4BC9CB6A4D7F9CBB8038496710F5CB9748A2BBCB2A4E5333C","10000","1460","3.9973","-340.51","9659.49","-3.41","-0.85","-0.86","0.64","-1.98","-5","36.05","172","11","406.61","4.05","389.15","406.61","-0.8374","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"52","usdcll_buffer00","12","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_buffer00.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_usdcll_buffer00_discovery_2019_2020_m1.ini","usdcll_buffer00_discovery_2019_2020_m1","profiles\usdcll_buffer00.set","92384FCAFBF1C18DFCB0569D1A7D2FA75197A6C328F2DC3A184157E1AE3D262F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.00","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_buffer00_discovery_2019_2020_m1.htm","B80F588D31513AB11EE5A2CBAC9BB2E071EA70F2F746C2342D46EF50B5E1A35E","10000","730","1.9986","32.23","10032.23","0.32","0.16","0.16","1.08","0.35","2.04","47.31","93","5","125.38","1.25","118.33","125.38","0.2571","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"54","usdcll_buffer00","12","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_buffer00.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_usdcll_buffer00_continuous_2015_2020_m1.ini","usdcll_buffer00_continuous_2015_2020_m1","profiles\usdcll_buffer00.set","92384FCAFBF1C18DFCB0569D1A7D2FA75197A6C328F2DC3A184157E1AE3D262F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.00","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_buffer00_continuous_2015_2020_m1.htm","471F9703905CBEF5E4368CB74A6D908750AC9DDD13A8D0A966A3EA364270E585","10000","2191","5.9986","-304.63","9695.37","-3.05","-0.51","-0.51","0.77","-1.15","-5","40","265","11","445.52","4.44","423.93","445.52","-0.6838","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"55","usdcll_buffer10","13","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_buffer10.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\037_usdcll_buffer10_older_2015_2018_m1.ini","usdcll_buffer10_older_2015_2018_m1","profiles\usdcll_buffer10.set","9C18CBFC32474071235ECB2979A66A096861721817E3C8A03C84B46DAB2D3888","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.10","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_buffer10_older_2015_2018_m1.htm","25F1A63802103B029F5E91EA34B52F4FDBB25226481425E2C400A6EBC596C23C","10000","1460","3.9973","-339.12","9660.88","-3.39","-0.85","-0.86","0.57","-2.41","-5","34.75","141","15","391.02","3.9","388.92","391.02","-0.8673","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"57","usdcll_buffer10","13","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_buffer10.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\038_usdcll_buffer10_discovery_2019_2020_m1.ini","usdcll_buffer10_discovery_2019_2020_m1","profiles\usdcll_buffer10.set","9C18CBFC32474071235ECB2979A66A096861721817E3C8A03C84B46DAB2D3888","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.10","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_buffer10_discovery_2019_2020_m1.htm","6B223AC377F460656B7DCC07128EE339111911BBBC68E88C5A77D1EEB768275F","10000","730","1.9986","97.64","10097.64","0.98","0.49","0.49","1.34","1.28","7.36","53.95","76","3","88.52","0.88","82.29","88.52","1.103","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"58","usdcll_buffer10","13","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_buffer10.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\039_usdcll_buffer10_continuous_2015_2020_m1.ini","usdcll_buffer10_continuous_2015_2020_m1","profiles\usdcll_buffer10.set","9C18CBFC32474071235ECB2979A66A096861721817E3C8A03C84B46DAB2D3888","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.10","1.75","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_buffer10_continuous_2015_2020_m1.htm","13F025ABC17FC67C8FDB775212C81E253108625D97EB2B748E060742CE9AF1ED","10000","2191","5.9986","-238.86","9761.14","-2.39","-0.4","-0.4","0.78","-1.1","-5","41.47","217","15","391.02","3.9","388.92","391.02","-0.6109","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"60","usdcll_tp150","14","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_tp150.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\040_usdcll_tp150_older_2015_2018_m1.ini","usdcll_tp150_older_2015_2018_m1","profiles\usdcll_tp150.set","BD874928FD9346539D3FD7BEB040EC9FC896B4D880ABE214F36BE65AD5CCD686","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.05","1.50","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_tp150_older_2015_2018_m1.htm","4142226736BB1F7E9A997B0A333227A00F749A9BA7A35AECE663397F6D65B608","10000","1460","3.9973","-307.81","9692.19","-3.08","-0.77","-0.78","0.64","-1.95","-5","37.34","158","11","357.8","3.57","353.62","357.8","-0.8603","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"61","usdcll_tp150","14","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_tp150.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\041_usdcll_tp150_discovery_2019_2020_m1.ini","usdcll_tp150_discovery_2019_2020_m1","profiles\usdcll_tp150.set","BD874928FD9346539D3FD7BEB040EC9FC896B4D880ABE214F36BE65AD5CCD686","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.05","1.50","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_tp150_discovery_2019_2020_m1.htm","421B8F1FA95988F2D2FCDC9A7DAA30905C906CCCDCA92067691E8AB932C7012B","10000","730","1.9986","-4.26","9995.74","-0.04","-0.02","-0.02","0.99","-0.05","-0.32","48.24","85","5","127.14","1.27","120.91","127.14","-0.0335","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"63","usdcll_tp150","14","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_tp150.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\042_usdcll_tp150_continuous_2015_2020_m1.ini","usdcll_tp150_continuous_2015_2020_m1","profiles\usdcll_tp150.set","BD874928FD9346539D3FD7BEB040EC9FC896B4D880ABE214F36BE65AD5CCD686","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.05","1.50","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_tp150_continuous_2015_2020_m1.htm","A3BA6411670BBB97C4C3ABFC46FF113848641FDD316CA0EA64422C237A57E90A","10000","2191","5.9986","-315.34","9684.66","-3.15","-0.53","-0.53","0.74","-1.3","-5","41.15","243","11","416.8","4.16","408.49","416.8","-0.7566","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"64","usdcll_tp200","15","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_tp200.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\043_usdcll_tp200_older_2015_2018_m1.ini","usdcll_tp200_older_2015_2018_m1","profiles\usdcll_tp200.set","8CA791E8015515D65457BAE735F4602D958885F572FE50AC6747C673E0F11915","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.05","2.00","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_tp200_older_2015_2018_m1.htm","A64780B57623A87377184595790AFC70A9158EC07F4387B5A75F735C003B3B67","10000","1460","3.9973","-279.95","9720.05","-2.8","-0.7","-0.71","0.67","-1.77","-5","37.34","158","11","352.87","3.52","344.43","352.87","-0.7934","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"66","usdcll_tp200","15","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_tp200.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\044_usdcll_tp200_discovery_2019_2020_m1.ini","usdcll_tp200_discovery_2019_2020_m1","profiles\usdcll_tp200.set","8CA791E8015515D65457BAE735F4602D958885F572FE50AC6747C673E0F11915","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.05","2.00","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_tp200_discovery_2019_2020_m1.htm","974FD1544242948FC6C6942E364AF3229D6B1FE697036A7E6D7FF690D940DBC8","10000","730","1.9986","50.38","10050.38","0.5","0.25","0.25","1.14","0.59","3.3","48.24","85","5","131.53","1.31","118.63","131.53","0.383","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
"67","usdcll_tp200","15","independent_m15_usd_consensus_lead_lag","discovery_model1","usdcll_tp200.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\045_usdcll_tp200_continuous_2015_2020_m1.ini","usdcll_tp200_continuous_2015_2020_m1","profiles\usdcll_tp200.set","8CA791E8015515D65457BAE735F4602D958885F572FE50AC6747C673E0F11915","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","4","0.10","0.25","0.35","4","0.05","2.00","PARSED","outputs\independent_m15_usd_consensus_lead_lag_discovery_model1_package\reports_here\usdcll_tp200_continuous_2015_2020_m1.htm","9214BBE00906F8E8FF72C8114B5D861A4CE2731A36BD681F63E935CF6B332785","10000","2191","5.9986","-231.18","9768.82","-2.31","-0.39","-0.39","0.81","-0.95","-5","41.15","243","11","389.65","3.89","377.08","389.65","-0.5933","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","CD53ADD8511D8AF12BE1B4A1DB270CA6730FE1C949A3430AD3D489B804A510EF"
