"Feature","Mode","Threshold","DiscoveryQualified","DiscoveryNet","DiscoveryWorstYearNet","DiscoveryMinYearPF","DiscoveryTrades","DiscoveryLiquidityTrades","HoldoutQualified","HoldoutNet","HoldoutWorstYearNet","HoldoutMinYearPF","HoldoutTrades","HoldoutLiquidityTrades","AllYearsQualified","AllYearsNet","AllYearsWorstYearNet","AllYearsMinYearPF","AllTrades","AllLiquidityTrades","NeighborAllYearsPass","OfflineSurvivor"
"ATRRatio20","le","0.6","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"ATRRatio20","le","0.8","False","4694.96","-122.76","0","45","2","True","3401.29","175.2","1.56","39","1","False","8096.25","-122.76","0","84","3","False","False"
"ATRRatio20","le","1","False","4459.48","-342.83","0.37","52","9","False","3620.5","-366.18","0.63","46","8","False","8079.98","-366.18","0.37","98","17","False","False"
"ATRRatio20","le","1.2","False","4275.17","-637.59","0.46","60","17","False","2272.53","-701.79","0.52","55","17","False","6547.7","-701.79","0.46","115","34","False","False"
"ATRRatio20","le","1.5","False","5147.63","-637.59","0.46","63","20","False","1894.81","-701.79","0.52","56","18","False","7042.44","-701.79","0.46","119","38","False","False"
"RSI","ge","35","False","5642.58","-567.2","0.49","61","18","False","1936.45","-813.39","0.45","56","18","False","7579.03","-813.39","0.45","117","36","False","False"
"RSI","ge","45","False","5442.11","-330.98","0.63","54","11","False","2444.54","-645.3","0.41","51","13","False","7886.65","-645.3","0.41","105","24","False","False"
"RSI","ge","50","False","5195.02","-330.98","0","52","9","False","2668.01","-460.98","0.49","48","10","False","7863.03","-460.98","0","100","19","False","False"
"RSI","ge","55","False","5197.71","-501.54","0","50","7","False","2138.36","-357.38","0.56","45","7","False","7336.07","-501.54","0","95","14","False","False"
"RSI","ge","65","False","4594.34","-220.53","0","46","3","False","2911.09","-72.48","0.86","42","4","False","7505.43","-220.53","0","88","7","False","False"
"RSI","le","35","False","4086.09","-304.22","0","46","3","True","3579.29","353.2","1.56","40","2","False","7665.38","-304.22","0","86","5","False","False"
"RSI","le","45","False","4286.56","-540.44","0.18","53","10","False","3071.2","63.42","1.06","45","7","False","7357.76","-540.44","0.18","98","17","False","False"
"RSI","le","50","False","4533.65","-540.44","0.18","55","12","False","2847.73","0.79","1","48","10","False","7381.38","-540.44","0.18","103","22","False","False"
"RSI","le","55","False","4530.96","-471.92","0.44","57","14","False","3377.38","-192.73","0.86","51","13","False","7908.34","-471.92","0.44","108","27","False","False"
"RSI","le","65","False","5134.33","-650.89","0.31","61","18","False","2604.65","-387.71","0.68","54","16","False","7738.98","-650.89","0.31","115","34","False","False"
"MFI","ge","35","False","5057.37","-330.98","0.63","57","14","False","2153.18","-706.31","0.42","53","15","False","7210.55","-706.31","0.42","110","29","False","False"
"MFI","ge","45","False","5186.57","-330.98","0.63","56","13","False","2459.88","-669.11","0.4","49","11","False","7646.45","-669.11","0.4","105","24","False","False"
"MFI","ge","50","False","4962.04","-528.99","0","53","10","False","2399.66","-256.8","0.64","45","7","False","7361.7","-528.99","0","98","17","False","False"
"MFI","ge","55","False","5071.85","-528.99","0","52","9","False","2509.77","-256.8","0.64","44","6","False","7581.62","-528.99","0","96","15","False","False"
"MFI","ge","65","False","4465.74","-650.73","0","47","4","True","3158.77","175.2","1.4","41","3","False","7624.51","-650.73","0","88","7","False","False"
