"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","PullbackLookbackBars","MinimumADX","TakeProfitR","MinimumSignalBodyPercent","RequirePriorCloseBeyondVWAP","UseSignalVolumeFilter","SessionStartHour","SessionEndHour","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence"
"24","m15dvc_tp250","8","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp250.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_m15dvc_tp250_continuous_2015_2020_m1.ini","m15dvc_tp250_continuous_2015_2020_m1","profiles\m15dvc_tp250.set","37DBAEAEBFE0E000432C061BBB17FCDEA766097A8C4352023BCBDCCDC514115F","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_tp250_continuous_2015_2020_m1.htm","1A48AF24830E3CD665DCBCA4B4565A004CFE44F507251FFEAB01D614D059EAAF","10000","2191","5.9986","-395.44","9604.56","-3.95","-0.66","-0.67","0.7","-1.81","-5","31.51","219","10","452.86","4.53","447.96","452.86","-0.8732","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"25","m15dvc_body45","9","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_body45.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_m15dvc_body45_older_2015_2018_m1.ini","m15dvc_body45_older_2015_2018_m1","profiles\m15dvc_body45.set","5F99A32B4A73441CBD2748C78855F4D40969DB6A11221B83F2935F1F7DA22D22","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","45.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_body45_older_2015_2018_m1.htm","D7050181AACEA5806AC08F29C9D2D6839441740B0C70B0B2932106BD09885F4D","10000","1460","3.9973","-242.42","9757.58","-2.42","-0.61","-0.61","0.69","-1.92","-5","32.54","126","9","300.32","3","290.2","300.32","-0.8072","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"26","m15dvc_body45","9","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_body45.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_m15dvc_body45_discovery_2019_2020_m1.ini","m15dvc_body45_discovery_2019_2020_m1","profiles\m15dvc_body45.set","5F99A32B4A73441CBD2748C78855F4D40969DB6A11221B83F2935F1F7DA22D22","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","45.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_body45_discovery_2019_2020_m1.htm","699F5CA9E409DB7B01AFCBD3980A8EFE54F60CDC4E8F3F9542E3F804908F97D0","10000","730","1.9986","-149.75","9850.25","-1.5","-0.75","-0.75","0.64","-2.2","-5","30.88","68","9","277.2","2.75","205.7","277.2","-0.5402","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"27","m15dvc_body45","9","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_body45.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_m15dvc_body45_continuous_2015_2020_m1.ini","m15dvc_body45_continuous_2015_2020_m1","profiles\m15dvc_body45.set","5F99A32B4A73441CBD2748C78855F4D40969DB6A11221B83F2935F1F7DA22D22","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","45.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_body45_continuous_2015_2020_m1.htm","609F6D612F6AB5FA9C66BE3708F0A2092AC89158357554F7B12C6019ECD7F63D","10000","2191","5.9986","-387.86","9612.14","-3.88","-0.65","-0.66","0.67","-2","-5","31.96","194","9","451.94","4.52","441.28","451.94","-0.8582","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"28","m15dvc_touch_only","10","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_touch_only.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_m15dvc_touch_only_older_2015_2018_m1.ini","m15dvc_touch_only_older_2015_2018_m1","profiles\m15dvc_touch_only.set","802B14C6E457A562D17ABB740F1B95151663BF5E5A24E37AC7127FBD06F43FB9","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","false","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_touch_only_older_2015_2018_m1.htm","1F4449B44349DE54540A11172CE7905B9BC6EEAD9A902072669C6A2EAD6E5B83","10000","1460","3.9973","-252.14","9747.86","-2.52","-0.63","-0.64","0.76","-1.55","-5","30.06","163","11","326.98","3.27","319.88","326.98","-0.7711","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"29","m15dvc_touch_only","10","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_touch_only.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_m15dvc_touch_only_discovery_2019_2020_m1.ini","m15dvc_touch_only_discovery_2019_2020_m1","profiles\m15dvc_touch_only.set","802B14C6E457A562D17ABB740F1B95151663BF5E5A24E37AC7127FBD06F43FB9","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","false","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_touch_only_discovery_2019_2020_m1.htm","D1EF79574692EB47FA7FB16CF4DA137417F28B4CC1D736F430747602282CB972","10000","730","1.9986","-220.85","9779.15","-2.21","-1.11","-1.11","0.6","-2.4","-5","32.61","92","11","311.97","3.1","259.92","311.97","-0.7079","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"30","m15dvc_touch_only","10","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_touch_only.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_m15dvc_touch_only_continuous_2015_2020_m1.ini","m15dvc_touch_only_continuous_2015_2020_m1","profiles\m15dvc_touch_only.set","802B14C6E457A562D17ABB740F1B95151663BF5E5A24E37AC7127FBD06F43FB9","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","false","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_touch_only_continuous_2015_2020_m1.htm","5E68161A8D7865D2DEFD4D467B67CC37C8BD228569A46F7016FFAAC220160617","10000","2191","5.9986","-476.74","9523.26","-4.77","-0.79","-0.81","0.69","-1.87","-5","30.98","255","11","499.28","4.99","489.66","499.28","-0.9549","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"31","m15dvc_volume105","11","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_volume105.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_m15dvc_volume105_older_2015_2018_m1.ini","m15dvc_volume105_older_2015_2018_m1","profiles\m15dvc_volume105.set","D863528B5C3179040A65CB72DE9244FB64D2702B1A9F6F6D9062AE59FAE5F725","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","true","true","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_volume105_older_2015_2018_m1.htm","4D0A8EAE37C8790A29678303030B0FDFE70EB0FB671E61F0343F70DDFDCA34C9","10000","1460","3.9973","-22.7","9977.3","-0.23","-0.06","-0.06","0.9","-0.6","-2.5","36.84","38","10","115.02","1.15","106.67","115.02","-0.1974","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"32","m15dvc_volume105","11","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_volume105.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_m15dvc_volume105_discovery_2019_2020_m1.ini","m15dvc_volume105_discovery_2019_2020_m1","profiles\m15dvc_volume105.set","D863528B5C3179040A65CB72DE9244FB64D2702B1A9F6F6D9062AE59FAE5F725","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","true","true","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_volume105_discovery_2019_2020_m1.htm","3DEC5621EAF7F523FB37EF307A16F444CD65CD262BD62FDB6C34379F97A1C76B","10000","730","1.9986","-24.8","9975.2","-0.25","-0.12","-0.12","0.85","-0.99","-3.19","24","25","6","93.89","0.94","79.69","93.89","-0.2641","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"33","m15dvc_volume105","11","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_volume105.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_m15dvc_volume105_continuous_2015_2020_m1.ini","m15dvc_volume105_continuous_2015_2020_m1","profiles\m15dvc_volume105.set","D863528B5C3179040A65CB72DE9244FB64D2702B1A9F6F6D9062AE59FAE5F725","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","true","true","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_volume105_continuous_2015_2020_m1.htm","3F50AFA9FB975963AA4D3010B0527D3A42E32C2D20C41805B2A582737B01047A","10000","2191","5.9986","-43.85","9956.15","-0.44","-0.07","-0.07","0.88","-0.7","-2.67","31.75","63","10","115.02","1.15","106.67","115.02","-0.3812","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"34","m15dvc_session7_17","12","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_session7_17.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_m15dvc_session7_17_older_2015_2018_m1.ini","m15dvc_session7_17_older_2015_2018_m1","profiles\m15dvc_session7_17.set","DEDB886A7D7A1507A7E1186A1F09821C634DE3CB7E76D644754BE746041E0E3D","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","true","false","7","17","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_session7_17_older_2015_2018_m1.htm","E68663FA4CD707A5F9C49B74EE96E885FED27E60537E4F1464D4D0A8B8610802","10000","1460","3.9973","-199.11","9800.89","-1.99","-0.5","-0.5","0.71","-1.88","-5","30.19","106","7","216.4","2.16","210.05","216.4","-0.9201","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"35","m15dvc_session7_17","12","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_session7_17.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_m15dvc_session7_17_discovery_2019_2020_m1.ini","m15dvc_session7_17_discovery_2019_2020_m1","profiles\m15dvc_session7_17.set","DEDB886A7D7A1507A7E1186A1F09821C634DE3CB7E76D644754BE746041E0E3D","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","true","false","7","17","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_session7_17_discovery_2019_2020_m1.htm","236B6BF8EF1B8E5B15EFD3A478B161F92C861FEBF7A4D6E3781DD561351D613B","10000","730","1.9986","-110.23","9889.77","-1.1","-0.55","-0.55","0.73","-1.57","-5","32.86","70","9","234.35","2.33","162.67","234.35","-0.4704","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
"36","m15dvc_session7_17","12","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_session7_17.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_m15dvc_session7_17_continuous_2015_2020_m1.ini","m15dvc_session7_17_continuous_2015_2020_m1","profiles\m15dvc_session7_17.set","DEDB886A7D7A1507A7E1186A1F09821C634DE3CB7E76D644754BE746041E0E3D","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","3","18.0","2.00","35.0","true","false","7","17","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026.","PARSED","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_session7_17_continuous_2015_2020_m1.htm","B1E934F2FB68C8A340D02B5F22D017DC4F925578444138CE336676116DC65B3A","10000","2191","5.9986","-306.54","9693.46","-3.07","-0.51","-0.52","0.72","-1.74","-5","31.25","176","9","361.56","3.61","352.71","361.56","-0.8478","REPORT_FOUND","Portable worker exported and copied the full MT5 report."
