"PositionIdentifier","EntryTime","ExitTime","Year","TrainingSplit","Side","InitialVolume","ExitVolume","ExitDeals","EntryPrice","InitialStop","InitialRiskMoney","Profit","RiskR","HoldHours","BreakoutATR","BodyRatio","CloseLocation","RangeATR","ExpansionRatio","ChannelWidthATR","SqueezeRangeATR","TickVolumeRatio","ATRPercent","ADX","TrendDistanceATR","TrendSlopeATR","SqueezeRatioMean","SqueezeRatioMax","StopATR"
"465","2018-09-10T14:45:00.0000000","2018-09-10T15:35:40.0000000","2018","training_2017_2018","sell","0.07","0.07","1","1192.42","1193.83","9.87","-9.87","-1","0.8444","0.446692","0.701657","0.712707","1.525495","2.457014","2.410451","0.620874","0.876659","0.099504","14.626441","4.503229","0.178378","0.917862","0.95707","1.187231"
"489","2018-11-27T08:30:00.0000000","2018-11-27T08:43:59.0000000","2018","training_2017_2018","sell","0.16","0.16","2","1221.14","1221.82","10.88","17.8","1.636029","0.2331","0.66087","0.837838","0.837838","1.286957","1.121212","2.086957","1.147826","0.916905","0.047087","21.157194","3.849866","0.167736","0.715408","0.837069","1.178261"
"494","2018-11-28T07:45:00.0000000","2018-11-28T08:00:40.0000000","2018","training_2017_2018","sell","0.17","0.17","2","1213.99","1214.62","10.71","17.98","1.678805","0.2611","0.150235","0.608696","0.84058","1.295775","1.533333","1.953052","0.84507","1.011283","0.043864","28.71435","13.355954","0.736238","0.778071","0.802692","1.189202"
"499","2018-12-14T06:30:00.0000000","2018-12-14T06:31:40.0000000","2018","training_2017_2018","sell","0.26","0.26","1","1241.55","1241.98","11.18","-11.18","-1","0.0278","0.174927","0.452381","0.928571","0.816327","1.26","1.690962","0.647878","0.771225","0.04144","21.083161","3.340323","0.118116","0.593154","0.628151","0.838581"
"511","2019-01-09T12:45:00.0000000","2019-01-09T13:54:40.0000000","2019","validation_2019_2020","sell","0.1","0.1","1","1280.5","1281.54","10.4","-10.4","-1","1.1611","0.097297","0.623853","0.87156","1.178378","1.403433","2.918919","0.83964","1.1","0.072237","34.125883","4.99671","0.205055","0.868248","0.941321","1.127027"
"531","2019-03-01T07:15:00.0000000","2019-03-01T08:00:40.0000000","2019","validation_2019_2020","sell","0.18","0.18","2","1312.69","1313.3","10.98","16.2","1.47541","0.7611","0.19403","0.754717","1","0.791045","1.195489","1.208955","0.661692","0.574983","0.05104","20.65654","15.069441","0.890101","0.948101","0.953745","0.90597"
"540","2019-04-04T11:45:00.0000000","2019-04-04T14:34:40.0000000","2019","validation_2019_2020","sell","0.14","0.14","2","1291.4","1292.19","11.06","19.14","1.730561","2.8278","0.088889","0.544444","0.777778","1.333333","1.129707","3.066667","1.180247","1.483092","0.052268","26.355688","2.964321","0.050557","0.778628","0.898429","1.166667"
"559","2019-07-16T12:15:00.0000000","2019-07-16T13:20:40.0000000","2019","validation_2019_2020","buy","0.08","0.08","1","1415.39","1414.12","10.16","-10.16","-1","1.0944","0.208235","0.748148","0.748148","1.277804","1.600791","2.300047","0.798233","1.576071","0.074652","27.643384","4.196906","0.172502","0.878647","0.88936","1.197965"
"567","2019-08-06T13:00:00.0000000","2019-08-06T14:38:40.0000000","2019","validation_2019_2020","buy","0.06","0.06","2","1463.28","1461.52","10.56","18.44","1.746212","1.6444","0.067633","0.647959","0.683673","0.94686","1.427184","1.357488","0.663446","0.528965","0.141483","15.679301","9.020137","0.531857","0.562469","0.565834","0.848792"
"570","2019-08-09T06:15:00.0000000","2019-08-09T08:31:40.0000000","2019","validation_2019_2020","buy","0.04","0.04","1","1507.24","1504.51","10.92","-10.92","-1","2.2778","0.862763","0.736301","0.780822","1.30532","3.151079","2.695574","0.414245","1.450301","0.14844","18.775783","12.035666","0.660159","0.623519","0.700965","1.222038"
"582","2019-09-27T08:45:00.0000000","2019-09-27T09:12:40.0000000","2019","validation_2019_2020","sell","0.1","0.1","2","1505.45","1506.58","11.3","17.22","1.523894","0.4611","0.461942","0.601626","0.837398","1.291339","2.291925","1.091864","0.56343","1.431382","0.06327","25.31885","7.375851","0.396394","0.814385","0.833612","1.181365"
"585","2019-10-04T13:45:00.0000000","2019-10-04T13:51:40.0000000","2019","validation_2019_2020","buy","0.09","0.09","1","1510.2","1508.99","10.89","-10.89","-1","0.1111","0.178763","0.717647","0.988235","0.607794","1.123348","1.094029","0.541056","0.76555","0.092618","21.892723","9.21277","0.51841","0.670187","0.69255","0.865105"
"587","2019-10-08T08:15:00.0000000","2019-10-08T08:25:40.0000000","2019","validation_2019_2020","sell","0.07","0.07","1","1489.98","1491.45","10.29","-10.29","-1","0.1778","0.446723","0.801471","0.977941","0.995972","3.212598","1.435372","0.310021","0.502955","0.091646","25.969515","6.189394","0.321794","0.844708","0.849006","1.074002"
"597","2019-11-12T07:30:00.0000000","2019-11-12T07:57:40.0000000","2019","validation_2019_2020","sell","0.18","0.18","2","1455.21","1455.83","11.16","24.42","2.188172","0.4611","0.243902","0.75","0.916667","0.813008","1.139241","1.802168","0.71364","1.190072","0.050714","20.729679","21.912737","1.28919","0.697737","0.705472","0.845257"
"606","2019-11-25T14:00:00.0000000","2019-11-25T15:01:40.0000000","2019","validation_2019_2020","sell","0.09","0.09","1","1457.09","1458.27","10.62","-10.62","-1","1.0278","0.090293","0.527559","0.866142","1.146727","1.700893","2.383747","0.674191","0.673863","0.076009","27.017082","8.238198","0.441216","0.724341","0.757356","1.06614"
"610","2019-12-05T14:45:00.0000000","2019-12-05T15:07:20.0000000","2019","validation_2019_2020","buy","0.09","0.09","2","1476.49","1475.24","11.25","18.03","1.602667","0.3722","0.373991","0.57037","0.688889","1.147471","1.327869","2.320442","0.864145","1.273308","0.079693","26.845658","5.421351","0.234945","0.547617","0.560184","1.060476"
"619","2020-01-02T13:45:00.0000000","2020-01-02T15:29:20.0000000","2020","validation_2019_2020","buy","0.08","0.08","2","1522.36","1521.03","10.64","16.46","1.546992","1.7389","0.246914","0.607143","0.901786","1.024234","1.258427","2.085048","0.8139","1.028667","0.071839","22.124452","10.06696","0.548989","0.715763","0.788066","1.215684"
"628","2020-01-14T17:45:00.0000000","2020-01-14T17:50:40.0000000","2020","validation_2019_2020","sell","0.05","0.05","1","1541.65","1543.66","10.05","-10.05","-1","0.0944","0.20954","0.505837","0.688716","1.417149","1.171733","2.707472","1.209448","1.365762","0.117629","17.390093","5.250715","0.227914","0.771602","0.780491","1.109098"
"640","2020-02-12T07:00:00.0000000","2020-02-12T08:54:40.0000000","2020","validation_2019_2020","sell","0.14","0.14","2","1567.18","1567.95","10.78","15.97","1.481447","1.9111","0.2442","1","1","0.854701","1.707317","1.221001","0.500611","0.48666","0.05226","22.914343","1.515695","0.066246","0.777724","0.809373","0.942491"
"653","2020-02-26T07:30:00.0000000","2020-02-26T10:30:40.0000000","2020","validation_2019_2020","buy","0.04","0.04","2","1644.61","1642.2","9.64","13.99","1.451245","3.0111","0.524017","0.717131","0.792829","0.953104","2.063014","1.906208","0.461996","0.788054","0.160145","29.220317","1.945433","0.02931","0.936068","0.954575","0.916404"
"656","2020-04-21T08:00:00.0000000","2020-04-21T08:18:40.0000000","2020","validation_2019_2020","sell","0.05","0.05","1","1686.69","1688.84","10.75","-10.75","-1","0.3111","0.086648","0.445455","0.790909","0.866483","1.853933","1.551792","0.467376","0.749574","0.150517","28.216989","3.402818","0.174397","0.630543","0.684182","0.848326"
"658","2020-04-27T15:30:00.0000000","2020-04-27T16:41:40.0000000","2020","validation_2019_2020","buy","0.03","0.03","1","1719.6","1716.12","10.44","-10.44","-1","1.1944","0.239211","0.689157","0.766265","1.341523","1.160298","2.065621","1.156188","1.31441","0.179895","26.350095","1.613965","0.035986","0.826203","0.85687","1.124729"
"663","2020-05-15T09:00:00.0000000","2020-05-15T09:24:40.0000000","2020","validation_2019_2020","buy","0.05","0.05","2","1734.63","1732.6","10.15","15.22","1.499507","0.4111","0.497624","0.591743","0.743119","1.218899","1.202206","1.884261","1.013885","1.795391","0.103119","20.632722","11.233342","0.631899","0.826093","0.854508","1.134386"
"667","2020-05-25T16:15:00.0000000","2020-05-25T16:43:40.0000000","2020","validation_2019_2020","sell","0.07","0.07","2","1726.81","1728.35","10.78","27.29","2.53154","0.4778","0.045132","0.629442","0.71066","1.270148","1.364896","1.908446","0.930582","1.978843","0.08982","17.362677","4.427774","0.219619","0.732483","0.753871","0.989749"
"672","2020-05-27T14:30:00.0000000","2020-05-27T14:44:40.0000000","2020","validation_2019_2020","sell","0.05","0.05","2","1704.39","1706.64","11.25","16.93","1.504889","0.2444","0.261348","0.8125","0.933333","1.100413","1.503132","1.879872","0.73208","0.927317","0.127979","14.236497","9.353098","0.530562","0.817294","0.818175","1.030766"
"679","2020-06-10T08:15:00.0000000","2020-06-10T09:16:40.0000000","2020","validation_2019_2020","buy","0.06","0.06","1","1717.56","1715.7","11.16","1.14","0.102151","1.0278","0.10919","0.61326","0.850829","1.097968","1.60177","1.449803","0.685472","0.706316","0.095988","17.981495","6.586673","0.34994","0.763979","0.805741","1.131241"
"683","2020-06-18T07:45:00.0000000","2020-06-18T09:26:40.0000000","2020","validation_2019_2020","buy","0.07","0.07","1","1728.01","1726.38","11.41","-11.41","-1","1.6944","0.218466","0.876033","0.876033","0.629389","1.123839","1.321196","0.560035","0.580386","0.11128","24.274691","1.462251","0.030361","0.849977","0.86586","0.849025"
"687","2020-06-19T14:45:00.0000000","2020-06-19T15:24:40.0000000","2020","validation_2019_2020","buy","0.05","0.05","2","1732.51","1730.43","10.4","15.2","1.461538","0.6611","0.043267","0.642857","0.745536","1.211466","1.445161","2.433748","0.838291","1.646115","0.106738","19.201128","3.690363","0.166578","0.736914","0.768527","1.127582"
