"QueueRank","Candidate","Phase","PhaseLabel","Window","Role","Model","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"24","re_maxrisk100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_risk_shape_probe_package\configs\024_re_maxrisk100_2024_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\024_re_maxrisk100_2024_full_m1.ini","re_risk_re_maxrisk100_2024_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_maxrisk100_2024_m1","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"25","re_maxrisk100","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2026_ytd","high_dd_recent","1","outputs\range_elite_risk_shape_probe_package\configs\025_re_maxrisk100_2026_ytd_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\025_re_maxrisk100_2026_ytd_m1.ini","re_risk_re_maxrisk100_2026ytd_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_maxrisk100_2026ytd_m1","5F199649195B09A678CA67F4D533DF632523EFA314F10675ACEA7684CBEE7B66","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"26","re_lotcap030","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\026_re_lotcap030_2019_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\026_re_lotcap030_2019_full_m1.ini","re_risk_re_lotcap030_2019_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_lotcap030_2019_m1","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"27","re_lotcap030","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\027_re_lotcap030_2021_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\027_re_lotcap030_2021_full_m1.ini","re_risk_re_lotcap030_2021_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_lotcap030_2021_m1","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"28","re_lotcap030","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\028_re_lotcap030_2023_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\028_re_lotcap030_2023_full_m1.ini","re_risk_re_lotcap030_2023_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_lotcap030_2023_m1","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"29","re_lotcap030","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2024_full","profit_control","1","outputs\range_elite_risk_shape_probe_package\configs\029_re_lotcap030_2024_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\029_re_lotcap030_2024_full_m1.ini","re_risk_re_lotcap030_2024_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_lotcap030_2024_m1","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"30","re_lotcap030","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2026_ytd","high_dd_recent","1","outputs\range_elite_risk_shape_probe_package\configs\030_re_lotcap030_2026_ytd_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\030_re_lotcap030_2026_ytd_m1.ini","re_risk_re_lotcap030_2026ytd_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_lotcap030_2026ytd_m1","3603E1AEC50817DDCE4CC274D0E0DA7DD1E8C91AE9BC9A6193C31CAB513FF105","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"31","re_ny_end16","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2019_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\031_re_ny_end16_2019_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\031_re_ny_end16_2019_full_m1.ini","re_risk_re_ny_end16_2019_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_ny_end16_2019_m1","1510D1268AAADDADC8C6E63235B298FD13847002C3E820FD50156E41447985DA","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"32","re_ny_end16","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2021_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\032_re_ny_end16_2021_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\032_re_ny_end16_2021_full_m1.ini","re_risk_re_ny_end16_2021_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_ny_end16_2021_m1","1510D1268AAADDADC8C6E63235B298FD13847002C3E820FD50156E41447985DA","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
"33","re_ny_end16","phase4_range_elite_risk_shape_model1","Range-elite risk-shape probe","2023_full","red_year","1","outputs\range_elite_risk_shape_probe_package\configs\033_re_ny_end16_2023_full_m1.ini","outputs\range_elite_risk_shape_probe_package\configs\033_re_ny_end16_2023_full_m1.ini","re_risk_re_ny_end16_2023_m1","outputs\range_elite_risk_shape_probe_package\reports_here\re_risk_re_ny_end16_2023_m1","1510D1268AAADDADC8C6E63235B298FD13847002C3E820FD50156E41447985DA","Reject if focused red years stay red, if 2026 drawdown stays excessive, or if 2024 profit engine collapses."
