Feature,FeatureIndex,Direction,Quantile,NeighborOffset,Threshold,Trades,KeptTrades,RemovedTrades,Retention,BaselineNet,KeptNet,RemovedNet,Improvement,BaselinePF,KeptPF,early_improvement,early_removed,late_improvement,late_removed,TrainingSupport
ADX,9,maximum,0.15000000,-1,27.37318880,55,46,9,0.83636364,186.06000000,201.85000000,-15.79000000,15.79000000,1.69957888,1.96629805,24.39000000,6,-8.60000000,3,False
ADX,9,maximum,0.20000000,0,26.61105340,55,44,11,0.80000000,186.06000000,220.99000000,-34.93000000,34.93000000,1.69957888,2.16463768,43.53000000,8,-8.60000000,3,False
ADX,9,maximum,0.25000000,1,25.99920350,55,41,14,0.74545455,186.06000000,201.95000000,-15.89000000,15.89000000,1.69957888,2.12101027,24.49000000,11,-8.60000000,3,False
TrendDistanceATR,10,minimum,0.15000000,-1,3.01084600,55,46,9,0.83636364,186.06000000,142.58000000,43.48000000,-43.48000000,1.69957888,1.62411906,-35.35000000,6,-8.13000000,3,False
TrendDistanceATR,10,minimum,0.20000000,0,3.74795740,55,44,11,0.80000000,186.06000000,164.20000000,21.86000000,-21.86000000,1.69957888,1.79388870,-35.35000000,6,13.49000000,5,False
TrendDistanceATR,10,minimum,0.25000000,1,3.99390250,55,41,14,0.74545455,186.06000000,140.61000000,45.45000000,-45.45000000,1.69957888,1.71130109,-41.14000000,8,-4.31000000,6,False
TrendDistanceATR,10,maximum,0.15000000,-1,10.64600830,55,46,9,0.83636364,186.06000000,124.40000000,61.66000000,-61.66000000,1.69957888,1.52707398,-15.55000000,4,-46.11000000,5,False
TrendDistanceATR,10,maximum,0.20000000,0,10.04707800,55,44,11,0.80000000,186.06000000,114.76000000,71.30000000,-71.30000000,1.69957888,1.50682330,-5.96000000,5,-65.34000000,6,False
TrendDistanceATR,10,maximum,0.25000000,1,9.58924300,55,41,14,0.74545455,186.06000000,117.50000000,68.56000000,-68.56000000,1.69957888,1.56911750,3.64000000,6,-72.20000000,8,False
TrendSlopeATR,11,minimum,0.15000000,-1,0.12034840,55,46,9,0.83636364,186.06000000,143.59000000,42.47000000,-42.47000000,1.69957888,1.63133134,-35.35000000,6,-7.12000000,3,False
TrendSlopeATR,11,minimum,0.20000000,0,0.14405100,55,44,11,0.80000000,186.06000000,163.14000000,22.92000000,-22.92000000,1.69957888,1.78474193,-26.20000000,7,3.28000000,4,False
TrendSlopeATR,11,minimum,0.25000000,1,0.16074350,55,41,14,0.74545455,186.06000000,194.01000000,-7.95000000,7.95000000,1.69957888,2.09597786,-26.20000000,7,34.15000000,7,False
TrendSlopeATR,11,maximum,0.15000000,-1,0.60605170,55,46,9,0.83636364,186.06000000,124.40000000,61.66000000,-61.66000000,1.69957888,1.52707398,-15.55000000,4,-46.11000000,5,False
TrendSlopeATR,11,maximum,0.20000000,0,0.56571260,55,44,11,0.80000000,186.06000000,144.36000000,41.70000000,-41.70000000,1.69957888,1.66814774,-5.96000000,5,-35.74000000,6,False
TrendSlopeATR,11,maximum,0.25000000,1,0.54588550,55,41,14,0.74545455,186.06000000,117.50000000,68.56000000,-68.56000000,1.69957888,1.56911750,3.64000000,6,-72.20000000,8,False
SqueezeRatioMean,12,minimum,0.15000000,-1,0.60774200,55,46,9,0.83636364,186.06000000,131.79000000,54.27000000,-54.27000000,1.69957888,1.58834821,-27.03000000,3,-27.24000000,6,False
SqueezeRatioMean,12,minimum,0.20000000,0,0.61809160,55,44,11,0.80000000,186.06000000,84.29000000,101.77000000,-101.77000000,1.69957888,1.37629464,-74.53000000,5,-27.24000000,6,False
SqueezeRatioMean,12,minimum,0.25000000,1,0.63862050,55,41,14,0.74545455,186.06000000,87.09000000,98.97000000,-98.97000000,1.69957888,1.42697456,-64.94000000,6,-34.03000000,8,False
SqueezeRatioMean,12,maximum,0.15000000,-1,0.81597530,55,46,9,0.83636364,186.06000000,183.32000000,2.74000000,-2.74000000,1.69957888,1.87063070,14.66000000,7,-17.40000000,2,False
SqueezeRatioMean,12,maximum,0.20000000,0,0.80139300,55,44,11,0.80000000,186.06000000,178.11000000,7.95000000,-7.95000000,1.69957888,1.88788634,9.45000000,9,-17.40000000,2,False
SqueezeRatioMean,12,maximum,0.25000000,1,0.78912600,55,41,14,0.74545455,186.06000000,207.75000000,-21.69000000,21.69000000,1.69957888,2.21519654,28.83000000,11,-7.14000000,3,False
SqueezeRatioMax,13,minimum,0.15000000,-1,0.63307200,55,46,9,0.83636364,186.06000000,99.61000000,86.45000000,-86.45000000,1.69957888,1.42477612,-48.71000000,4,-37.74000000,5,False
SqueezeRatioMax,13,minimum,0.20000000,0,0.64813620,55,44,11,0.80000000,186.06000000,84.16000000,101.90000000,-101.90000000,1.69957888,1.37549636,-74.53000000,5,-27.37000000,6,False
