"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","PriorDayMoveATR","PriorDayBodyPercent","MaximumAsianRangeATR","MinimumAsianDriftATR","EntryHour","SignalBodyPercent","TakeProfitR","StopRule","Status","ReportPath","ReportSha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","RunnerSourceSha256","PortableBinarySha256"
"31","odc_asian065","7","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_asian065.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\021_odc_asian065_continuous_2015_2020_m1.ini","odc_asian065_continuous_2015_2020_m1","profiles\odc_asian065.set","B6A2CE45DB207A20F6F0697DB8EDE9DB0522AF588B765840419809259AF3FC5C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.65","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_asian065_continuous_2015_2020_m1.htm","E0C443147248D8A20423BDA73ADC86CF88A9636EE26AF6BBC8D1911E77ACC16E","10000","2191","5.9986","120.76","10120.76","1.21","0.2","0.2","1.22","0.76","2.83","50","158","6","73.93","0.73","65.75","73.93","1.6334","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"33","odc_drift000","8","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_drift000.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\022_odc_drift000_older_2015_2018_m1.ini","odc_drift000_older_2015_2018_m1","profiles\odc_drift000.set","CF8C265EBF528CBE5E7434B8280C07712D251E5063AF77ABCCA8C6ECDB791532","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","0.00","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_drift000_older_2015_2018_m1.htm","B39378D837F3A69857D0E9CAA3DDC064B2524811A7076F53FC72E950140D90E9","10000","1460","3.9973","114.12","10114.12","1.14","0.29","0.28","1.36","1.16","4.27","52.04","98","6","50.59","0.5","42.33","50.59","2.2558","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"34","odc_drift000","8","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_drift000.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\023_odc_drift000_discovery_2019_2020_m1.ini","odc_drift000_discovery_2019_2020_m1","profiles\odc_drift000.set","CF8C265EBF528CBE5E7434B8280C07712D251E5063AF77ABCCA8C6ECDB791532","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","0.00","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_drift000_discovery_2019_2020_m1.htm","201D91372B14E78403B5B3753DA88AAEA9D3B91356371CD68FA36369E433CCE8","10000","730","1.9986","4.27","10004.27","0.04","0.02","0.02","1.04","0.12","0.5","54.29","35","3","48.9","0.49","44.46","48.9","0.0873","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"36","odc_drift000","8","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_drift000.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\024_odc_drift000_continuous_2015_2020_m1.ini","odc_drift000_continuous_2015_2020_m1","profiles\odc_drift000.set","CF8C265EBF528CBE5E7434B8280C07712D251E5063AF77ABCCA8C6ECDB791532","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","0.00","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_drift000_continuous_2015_2020_m1.htm","EAD78934C56C838E86CB70FBAC98E9F43323901AC157F648204D6E17C8986A2E","10000","2191","5.9986","115.04","10115.04","1.15","0.19","0.19","1.26","0.86","3.24","52.63","133","6","67.45","0.67","58.93","67.45","1.7056","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"37","odc_driftminus025","9","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_driftminus025.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\025_odc_driftminus025_older_2015_2018_m1.ini","odc_driftminus025_older_2015_2018_m1","profiles\odc_driftminus025.set","6AC321FB5AC81006A40E00AE30AACC691DA67A3AF6FCDB7496625AB60A6103AA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.25","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_driftminus025_older_2015_2018_m1.htm","C81EF43C86D423800B23EDF025E0F870390D175A4F2A4FCC7F18ADC37A14C800","10000","1460","3.9973","91.7","10091.7","0.92","0.23","0.23","1.22","0.76","2.76","50","120","6","59.31","0.59","51.03","59.31","1.5461","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"39","odc_driftminus025","9","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_driftminus025.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\026_odc_driftminus025_discovery_2019_2020_m1.ini","odc_driftminus025_discovery_2019_2020_m1","profiles\odc_driftminus025.set","6AC321FB5AC81006A40E00AE30AACC691DA67A3AF6FCDB7496625AB60A6103AA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.25","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_driftminus025_discovery_2019_2020_m1.htm","8E04B97A99F999D0B88E413D3425E7F95B4E6A556C176C2B0EE3D5FFCB14CEA3","10000","730","1.9986","25.43","10025.43","0.25","0.13","0.13","1.19","0.65","2.68","53.85","39","3","41.44","0.41","39.17","41.44","0.6137","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"40","odc_driftminus025","9","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_driftminus025.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\027_odc_driftminus025_continuous_2015_2020_m1.ini","odc_driftminus025_continuous_2015_2020_m1","profiles\odc_driftminus025.set","6AC321FB5AC81006A40E00AE30AACC691DA67A3AF6FCDB7496625AB60A6103AA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.25","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_driftminus025_continuous_2015_2020_m1.htm","CC75CF9EC5E2CC67BEFF01AAFAEFB83F6A5538FEBA82355166300DE35C1BF5EA","10000","2191","5.9986","117.52","10117.52","1.18","0.2","0.19","1.21","0.74","2.74","50.94","159","6","73.93","0.73","65.75","73.93","1.5896","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"42","odc_entry6","10","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry6.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\028_odc_entry6_older_2015_2018_m1.ini","odc_entry6_older_2015_2018_m1","profiles\odc_entry6.set","6F355E10AB344A5EB1DB7513436698EFB8BAD29286D5CEE669C5CA4FE5368E67","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","6","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_entry6_older_2015_2018_m1.htm","5190359CE224126ED4156A8B01A1D72F1202C9DB1BB7086C43474E4B4C917E88","10000","1460","3.9973","87.31","10087.31","0.87","0.22","0.22","1.27","0.85","2.87","51.46","103","5","68.33","0.68","63.98","68.33","1.2778","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"43","odc_entry6","10","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry6.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\029_odc_entry6_discovery_2019_2020_m1.ini","odc_entry6_discovery_2019_2020_m1","profiles\odc_entry6.set","6F355E10AB344A5EB1DB7513436698EFB8BAD29286D5CEE669C5CA4FE5368E67","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","6","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_entry6_discovery_2019_2020_m1.htm","52EB7A8F47E3BD8779FD54B02290B7BF59034E9E46E4B0B8B0426CCEF3C84AE6","10000","730","1.9986","-6.1","9993.9","-0.06","-0.03","-0.03","0.96","-0.13","-0.49","56.52","46","6","72.57","0.72","63.45","72.57","-0.0841","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"45","odc_entry6","10","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry6.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\030_odc_entry6_continuous_2015_2020_m1.ini","odc_entry6_continuous_2015_2020_m1","profiles\odc_entry6.set","6F355E10AB344A5EB1DB7513436698EFB8BAD29286D5CEE669C5CA4FE5368E67","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","6","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_entry6_continuous_2015_2020_m1.htm","BBDFE036264418EBE087DE8255AC31F4A75FE141806B35A77EB3FBA36A1882F5","10000","2191","5.9986","84.95","10084.95","0.85","0.14","0.14","1.17","0.57","1.97","53.02","149","6","78.61","0.78","63.98","78.61","1.0807","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"46","odc_entry8","11","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry8.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\031_odc_entry8_older_2015_2018_m1.ini","odc_entry8_older_2015_2018_m1","profiles\odc_entry8.set","F3AAB8B61ACF9A85828614AA711E67E88EF4F3B89EB077698C80E63212F602F7","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","8","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_entry8_older_2015_2018_m1.htm","A1089B116A50FF86628374183EE6A0E81C9F2D74ED95F94662CF7E21A7D1B247","10000","1460","3.9973","94.43","10094.43","0.94","0.24","0.24","1.27","0.79","2.91","54.17","120","7","67.5","0.67","50.92","67.5","1.399","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"48","odc_entry8","11","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\032_odc_entry8_discovery_2019_2020_m1.ini","odc_entry8_discovery_2019_2020_m1","profiles\odc_entry8.set","F3AAB8B61ACF9A85828614AA711E67E88EF4F3B89EB077698C80E63212F602F7","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","8","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_entry8_discovery_2019_2020_m1.htm","DC1657CDDD5E0FDE1A838917F50B16C58A33CF337D437EEEB090D11BFE14DC76","10000","730","1.9986","49.02","10049.02","0.49","0.25","0.24","1.45","1.2","5.23","60.98","41","5","53.49","0.53","42.32","53.49","0.9164","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"49","odc_entry8","11","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_entry8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\033_odc_entry8_continuous_2015_2020_m1.ini","odc_entry8_continuous_2015_2020_m1","profiles\odc_entry8.set","F3AAB8B61ACF9A85828614AA711E67E88EF4F3B89EB077698C80E63212F602F7","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","8","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_entry8_continuous_2015_2020_m1.htm","E8C643216CE0CC785499497B40B6C8D8DA9B72DF36E0D36A3E2E61CA0411741F","10000","2191","5.9986","155.24","10155.24","1.55","0.26","0.26","1.33","0.96","3.69","56.17","162","7","67.5","0.67","50.92","67.5","2.2999","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"51","odc_signal25","12","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal25.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\034_odc_signal25_older_2015_2018_m1.ini","odc_signal25_older_2015_2018_m1","profiles\odc_signal25.set","C139854F04C615C1D94568582E4894EBF52187CCE10C961C4588015DB7BC33ED","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","25.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_signal25_older_2015_2018_m1.htm","E3D3A37B872BB83557ECB0141A53BEBFA03AA304149C17B369BAF25A4AA8C8AF","10000","1460","3.9973","127.97","10127.97","1.28","0.32","0.32","1.29","1","3.72","50.78","128","6","65.17","0.64","52.48","65.17","1.9636","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"52","odc_signal25","12","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal25.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\035_odc_signal25_discovery_2019_2020_m1.ini","odc_signal25_discovery_2019_2020_m1","profiles\odc_signal25.set","C139854F04C615C1D94568582E4894EBF52187CCE10C961C4588015DB7BC33ED","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","25.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_signal25_discovery_2019_2020_m1.htm","A04B731A5CA5061BDABBD2FDD74B83AFF4B3C308E3C84566F6DD74EA1472E9CD","10000","730","1.9986","43.05","10043.05","0.43","0.22","0.22","1.31","0.98","4.13","56.82","44","3","41.44","0.41","39.17","41.44","1.0389","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"54","odc_signal25","12","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal25.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\036_odc_signal25_continuous_2015_2020_m1.ini","odc_signal25_continuous_2015_2020_m1","profiles\odc_signal25.set","C139854F04C615C1D94568582E4894EBF52187CCE10C961C4588015DB7BC33ED","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","25.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_signal25_continuous_2015_2020_m1.htm","6746019CC762584248E2BDBA11D7508E1F686A827E400E9DEED1B6A3E195D930","10000","2191","5.9986","171.41","10171.41","1.71","0.29","0.28","1.3","1","3.8","52.33","172","6","69.35","0.68","61.17","69.35","2.4717","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"55","odc_signal45","13","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal45.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\037_odc_signal45_older_2015_2018_m1.ini","odc_signal45_older_2015_2018_m1","profiles\odc_signal45.set","1FFA4732A1CF1128F1918964F2AFD3016507DD07B53D9E8ABB9C11E726BD3A9C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","45.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_signal45_older_2015_2018_m1.htm","7FC087252FE64D19DAA79C5E542C263D21F61E6EAD02C9C5CFDDD994C8D588BE","10000","1460","3.9973","94.62","10094.62","0.95","0.24","0.24","1.24","0.83","3.06","50.88","114","6","59.31","0.59","51.03","59.31","1.5953","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"57","odc_signal45","13","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal45.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\038_odc_signal45_discovery_2019_2020_m1.ini","odc_signal45_discovery_2019_2020_m1","profiles\odc_signal45.set","1FFA4732A1CF1128F1918964F2AFD3016507DD07B53D9E8ABB9C11E726BD3A9C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","45.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_signal45_discovery_2019_2020_m1.htm","E4C96F08089403866A845BC2AF9F8396EBE27FC002E100A5E98C9193778F978F","10000","730","1.9986","-20.85","9979.15","-0.21","-0.1","-0.1","0.83","-0.63","-2.5","48.48","33","3","45.76","0.46","43.47","45.76","-0.4556","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"58","odc_signal45","13","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_signal45.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\039_odc_signal45_continuous_2015_2020_m1.ini","odc_signal45_continuous_2015_2020_m1","profiles\odc_signal45.set","1FFA4732A1CF1128F1918964F2AFD3016507DD07B53D9E8ABB9C11E726BD3A9C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","45.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_signal45_continuous_2015_2020_m1.htm","D79320F21F94757649C33B125E6219CF39C6DCF154BDC7CB8F06E5D17B473BCD","10000","2191","5.9986","67.23","10067.23","0.67","0.11","0.11","1.13","0.47","1.76","50","144","7","94.75","0.93","85.93","94.75","0.7096","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
"60","odc_tp125","14","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_tp125.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\040_odc_tp125_older_2015_2018_m1.ini","odc_tp125_older_2015_2018_m1","profiles\odc_tp125.set","8996248675756D22AD5A8F9569B2710EFFB627CA469DE5B799827939FE58976F","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","35.0","1.25","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_tp125_older_2015_2018_m1.htm","18EEE7D115EBE9F453CD99C868A9F254A4C9DBC498B4B932782FEA90B06911AD","10000","1460","3.9973","86.79","10086.79","0.87","0.22","0.22","1.21","0.72","2.83","49.17","120","6","52.91","0.52","44.31","52.91","1.6403","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","5518A5686754C3486B6034DF62BC5249932F9704333B2C52E30117723BF83118"
"61","odc_tp125","14","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_tp125.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\041_odc_tp125_discovery_2019_2020_m1.ini","odc_tp125_discovery_2019_2020_m1","profiles\odc_tp125.set","8996248675756D22AD5A8F9569B2710EFFB627CA469DE5B799827939FE58976F","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","0.30","45.0","0.55","-0.15","7","35.0","1.25","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026.","PARSED","outputs\independent_m15_overnight_drift_continuation_discovery_model1_package\reports_here\odc_tp125_discovery_2019_2020_m1.htm","F7AA165262FD3FBF575A6A3534B7954553EE65908B53AD8FE4390735C77CF88E","10000","730","1.9986","19.62","10019.62","0.2","0.1","0.1","1.15","0.5","2.22","53.85","39","3","41.44","0.41","39.17","41.44","0.4735","REPORT_FOUND","Portable worker exported and copied the full MT5 report.","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","800611E60DBEB51715314C97C7D9A84077708328059927C3FBB90E7D4601B3C2"
