"QueueRank","Candidate","CandidateRank","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","LookbackDays","MaximumSetupRangeATR","BreakoutBufferATR","MinimumBodyPercent","MinimumVolumeRatio","EMAFilter","EMAPeriod","ADXFilter","TakeProfitR","ChandelierTrail","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"42","dnrb_noema","14","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_noema_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_noema_continuous_2015_2020_m1.htm","60CC904FD82F97F50770E496AA47DE714EE3D432D4A67B31029E134C034CADF6","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","false","50","false","3.00","true","10000","2191","5.9986","10.34","10010.34","0.1","0.02","0.02","1.28","0.74","0.87","28.57","14","4","35.27","0.35","0.2932"
"43","dnrb_adx18","15","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_adx18_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_adx18_older_2015_2018_m1.htm","9FD1E110E3BD4A9E1DE1711884E295E778F639210DFE043426A95D6413B35316","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","true","3.00","true","10000","1460","3.9973","-6.28","9993.72","-0.06","-0.02","-0.02","0.68","-0.9","-0.25","28.57","7","3","33.59","0.34","-0.187"
"44","dnrb_adx18","15","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_adx18_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_adx18_discovery_2019_2020_m1.htm","9FD1E110E3BD4A9E1DE1711884E295E778F639210DFE043426A95D6413B35316","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","true","3.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"45","dnrb_adx18","15","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_adx18_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_adx18_continuous_2015_2020_m1.htm","9FD1E110E3BD4A9E1DE1711884E295E778F639210DFE043426A95D6413B35316","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","true","3.00","true","10000","2191","5.9986","-17.3","9982.7","-0.17","-0.03","-0.03","0.43","-1.73","-1.08","20","10","3","33.59","0.34","-0.515"
"46","dnrb_tp200","16","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_tp200_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_tp200_older_2015_2018_m1.htm","B0A4A9F961D3C9775D55B6692FAE57FB1BB3EACF9CA7665FDC06228BDE6AD505","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","2.00","true","10000","1460","3.9973","-0.72","9999.28","-0.01","0","0","0.96","-0.1","-0.03","28.57","7","3","33.59","0.34","-0.0214"
"47","dnrb_tp200","16","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_tp200_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_tp200_discovery_2019_2020_m1.htm","B0A4A9F961D3C9775D55B6692FAE57FB1BB3EACF9CA7665FDC06228BDE6AD505","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","2.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"48","dnrb_tp200","16","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_tp200_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_tp200_continuous_2015_2020_m1.htm","B0A4A9F961D3C9775D55B6692FAE57FB1BB3EACF9CA7665FDC06228BDE6AD505","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","2.00","true","10000","2191","5.9986","-11.74","9988.26","-0.12","-0.02","-0.02","0.61","-1.17","-0.79","20","10","3","33.59","0.34","-0.3495"
"49","dnrb_tp400","17","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_tp400_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_tp400_older_2015_2018_m1.htm","B608A5221FD4C57F62DD913D641D1E015C3B203AD897A6976AD904BF7E122395","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","4.00","true","10000","1460","3.9973","-6.28","9993.72","-0.06","-0.02","-0.02","0.68","-0.9","-0.25","28.57","7","3","33.59","0.34","-0.187"
"50","dnrb_tp400","17","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_tp400_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_tp400_discovery_2019_2020_m1.htm","B608A5221FD4C57F62DD913D641D1E015C3B203AD897A6976AD904BF7E122395","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","4.00","true","10000","730","1.9986","-11.02","9988.98","-0.11","-0.06","-0.06","0","-3.67","-0.58","0","3","3","15.06","0.15","-0.7317"
"51","dnrb_tp400","17","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_tp400_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_tp400_continuous_2015_2020_m1.htm","B608A5221FD4C57F62DD913D641D1E015C3B203AD897A6976AD904BF7E122395","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","4.00","true","10000","2191","5.9986","-17.3","9982.7","-0.17","-0.03","-0.03","0.43","-1.73","-1.08","20","10","3","33.59","0.34","-0.515"
"52","dnrb_no_trail","18","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","dnrb_no_trail_older_2015_2018_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_no_trail_older_2015_2018_m1.htm","608DCC336468837B9A528D94EC89696941784CAC9CBC49FB1D94BA31CEB1A8AF","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","3.00","false","10000","1460","3.9973","-14.13","9985.87","-0.14","-0.04","-0.04","0.66","-2.02","-0.2","28.57","7","5","60.51","0.6","-0.2335"
"53","dnrb_no_trail","18","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","dnrb_no_trail_discovery_2019_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_no_trail_discovery_2019_2020_m1.htm","608DCC336468837B9A528D94EC89696941784CAC9CBC49FB1D94BA31CEB1A8AF","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","3.00","false","10000","730","1.9986","-1.46","9998.54","-0.01","-0.01","-0.01","0.91","-0.49","-0.02","33.33","3","2","24.21","0.24","-0.0603"
"54","dnrb_no_trail","18","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","dnrb_no_trail_continuous_2015_2020_m1","PARSED","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_no_trail_continuous_2015_2020_m1.htm","608DCC336468837B9A528D94EC89696941784CAC9CBC49FB1D94BA31CEB1A8AF","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","7","0.85","0.05","35.0","1.00","true","50","false","3.00","false","10000","2191","5.9986","-15.59","9984.41","-0.16","-0.03","-0.03","0.73","-1.56","-0.34","30","10","5","60.51","0.6","-0.2576"
